asset_id,current_los,method_1_cost,method_2_cost,method_3_cost,weight,SHAPE_Leng
1011109,7.6,18819.1,75276.4,329334.25,0.51,150.7607195
1011110,1.7,1387.7,5550.8,24284.75,0.04,25.86877213
1011111,5.3,749.15,2996.6,18728.75,0.04,15.26964758
1011112,7,159415.4,637661.6,2789769.5,4.36,1794.069669
1011113,3.4,3150.4,12601.6,55132,0.09,45.67308745
1011114,7.4,46410.6,185642.4,812185.5,1.27,806.2794603
1011115,6.1,11996.3,47985.2,209935.25,0.33,145.9709162
1011116,6.9,203.8,815.2,3566.5,0.01,4.756079504
1011117,7.6,1299.2,5196.8,22736,0.04,28.94977716
1011118,6.3,39962,159848,699335,1.09,420.0751238
1011119,8.2,1036.1,4144.4,18131.75,0.03,31.18561326
1011120,7.5,7110.6,28442.4,124435.5,0.19,56.81218442
1011121,5.590140477,3394.4,13577.6,59402,0.09,45.05223518
1011122,8.2,88559.4,354237.6,1549789.5,2.42,912.6450423
1011123,6.6,8260.7,33042.8,144562.25,0.23,129.3095069
1011124,3.9,44910.3,179641.2,785930.25,1.23,489.9898453
1011125,6.3,1372.6,5490.4,24020.5,0.04,18.11369114
1011126,6,1728.4,6913.6,30247,0.05,20.34849556
1011127,4.9,15503.8,62015.2,271316.5,0.42,160.7056411
1011128,3.7,10134.1,40536.4,177346.75,0.28,144.4824723
1011129,7.5,3604.1,14416.4,63071.75,0.1,50.02601844
1011130,7.8,10116.5,40466,177038.75,0.28,76.98350202
1011131,7,12254.7,49018.8,214457.25,0.34,183.994913
1011132,4.6,10575.525,42302.1,211510.5,0.39,142.6673287
1011133,6.6,744.8,2979.2,13034,0.02,12.09610677
1011134,5,893.7,3574.8,15639.75,0.02,14.80946373
1011135,6.8,1441.35,5765.4,28827,0.05,29.48472699
1011136,7.3,11254.7,45018.8,196957.25,0.31,96.11376122
1011137,6.9,37054.1,148216.4,648446.75,1.01,360.4958717
1011138,3.3,607.9,2431.6,10638.25,0.02,10.97039619
1011139,5.4,3592.3,14369.2,62865.25,0.1,43.02849648
1011140,6,16756.9,67027.6,293245.75,0.46,206.8906191
1011141,8.3,28036,112144,490630,0.77,335.7569958
1011142,4.3,3265.1,13060.4,57139.25,0.09,44.54832904
1011143,6.4,10644.3,42577.2,186275.25,0.29,84.31737538
1011144,3,7129.275,28517.1,142585.5,0.26,71.73612768
1011145,3,6513.15,26052.6,130263,0.24,63.25757389
1011146,6.2,2771.7,11086.8,48504.75,0.08,39.67726838
1011147,3,1076.55,4306.2,21531,0.04,16.99923991
1011148,6.3,1416.7,5666.8,24792.25,0.04,23.73192635
1011149,5.586842765,5150,20600,90125,0.14,81.85718031
1011150,3.6,2266.3,9065.2,39660.25,0.06,34.59798237
1011151,3.9,851.9,3407.6,14908.25,0.02,14.42902181
1011152,5,12156,48624,212730,0.33,152.7508422
1011153,5.616986307,7741.9,30967.6,135483.25,0.21,102.2581312
1011154,5.4,12743.9,50975.6,223018.25,0.35,108.4223302
1011155,7.7,737.8,2951.2,12911.5,0.02,10.57244838
1011156,4.7,23177,92708,405597.5,0.63,166.2347303
1011157,5.2,13449.3,53797.2,235362.75,0.37,135.2953089
1011158,8.1,28841.9,115367.6,504733.25,0.79,205.004342
1011159,7.9,13723.1,54892.4,240154.25,0.38,149.405838
1011160,7.5,16080,64320,281400,0.44,148.3090824
1011161,4.7,68621.1,274484.4,1200869.25,1.88,838.572173
1011162,9.2,10893.7,43574.8,190639.75,0.3,181.3772029
1011163,5.9,5398.4,21593.6,94472,0.15,91.25788214
1011164,6.7,6894.7,27578.8,120657.25,0.19,99.36308377
1011165,7,4054.9,16219.6,70960.75,0.11,76.41166433
1011166,7.7,4497,17988,78697.5,0.12,42.07711741
1011167,5.9,12420.2,49680.8,217353.5,0.34,171.8380274
1011168,6,676.4,2705.6,11837,0.02,10.32133028
1011169,7.6,877.2,3508.8,15351,0.02,132.7371305
1011170,4.9,18082.7,72330.8,316447.25,0.49,206.9812447
1011171,5.534994575,3547.9,14191.6,62088.25,0.1,53.73650461
1011172,5,5214.1,20856.4,91246.75,0.14,67.39388404
1011173,6.8,24606.9,98427.6,430620.75,0.67,168.5935588
1011174,1.6,6556.9,26227.6,114745.75,0.18,50.33364718
1011175,7.3,1969.1,7876.4,34459.25,0.05,20.86025097
1011176,6,7258.4,29033.6,127022,0.2,273.4222089
1011177,7.3,809.9,3239.6,14173.25,0.02,15.31813135
1011178,3.3,4762.8,19051.2,83349,0.13,85.66771362
1011179,6.2,4060.5,16242,71058.75,0.11,58.92845127
1011180,8.2,45865,183460,802637.5,1.25,367.4684463
1011181,6.1,2175,8700,38062.5,0.06,25.49265623
1011182,4.6,3176.4,12705.6,55587,0.09,43.55376036
1011183,6,1006.4,4025.6,17612,0.03,20.82486436
1011184,5.540773054,2863.3,11453.2,50107.75,0.08,33.34725777
1011185,6.8,5167.2,20668.8,90426,0.14,35.09792531
1011186,5.3,10304.7,41218.8,180332.25,0.28,114.736903
1011187,7.9,9817.5,39270,171806.25,0.27,168.4371505
1011188,5.588568345,6571.2,26284.8,114996,0.18,107.8094475
1011189,4.4,1177.3,4709.2,20602.75,0.03,26.89320858
1011190,6.5,4505.8,18023.2,78851.5,0.12,57.93451774
1011191,6.8,1692.4,6769.6,29617,0.05,23.28885048
1011192,6.2,4695.1,18780.4,82164.25,0.13,66.8127233
1011193,6.5,1146.7,4586.8,20067.25,0.03,17.63237172
1011194,6,547.5,2190,9581.25,0.01,10.46325152
1011195,6,1888.8,7555.2,33054,0.05,25.13801045
1011196,4.6,32391.15,129564.6,647823,1.18,509.8299801
1011197,7,1907.8,7631.2,33386.5,0.05,28.20857372
1011198,6.8,14131.575,56526.3,282631.5,0.52,140.1532618
1011199,8.3,2979.8,11919.2,52146.5,0.08,26.90978937
1011200,7.2,32855.7,131422.8,574974.75,0.9,302.8848532
1011201,6.5,668.6,2674.4,11700.5,0.02,11.58160621
1011202,4.3,2291,9164,40092.5,0.06,23.4044157
1011203,3.3,8570.7,34282.8,149987.25,0.23,100.3585559
1011204,6.7,571.2,2284.8,9996,0.02,11.64113848
1011205,8,26859,107436,470032.5,0.73,315.4191931
1011206,7.7,6222.4,24889.6,108892,0.17,67.89684624
1011207,7,1837.3,7349.2,32152.75,0.05,23.11611004
1011208,1.6,6516.4,26065.6,114037,0.18,51.52533483
1011209,5.935555429,49342.4,197369.6,863492,1.35,383.21764
1011210,8.2,14568.4,58273.6,254947,0.4,91.08282797
1011211,5.582391066,3367.5,13470,58931.25,0.09,40.66406132
1011212,5.9,7388.625,29554.5,147772.5,0.27,98.91940054
1011213,5.7,58146.7,232586.8,1017567.25,1.59,582.3078585
1011214,5.3,1653.5,6614,28936.25,0.05,17.31731155
1011215,6.8,31283.3,125133.2,547457.75,0.86,349.9551295
1011216,4.5,3407.2,13628.8,59626,0.09,48.3445248
1011217,8.7,17903.9,71615.6,313318.25,0.49,141.8491673
1011218,6,22948.8,91795.2,401604,0.63,231.6580817
1011219,6.6,889.3,3557.2,15562.75,0.02,13.44226959
1011220,5.6,24579.8,98319.2,430146.5,0.67,273.5982058
1011221,6,28544.4,114177.6,499527,0.78,175.51981
1011222,5.5,1663,6652,29102.5,0.05,27.44025208
1011223,5.7,874.7,3498.8,15307.25,0.02,11.75529849
1011224,6.5,2750.475,11001.9,55009.5,0.1,38.3907458
1011225,6.6,18959.2,75836.8,331786,0.52,178.487398
1011226,5.8,2482.7,9930.8,43447.25,0.07,28.31174056
1011227,5.3,371.5,1486,9287.5,0.02,12.51416924
1011228,7.1,3715.4,14861.6,65019.5,0.1,57.28971444
1011229,7.4,25217.3,100869.2,441302.75,0.69,213.0010102
1011230,5.8,28027.3,112109.2,490477.75,0.77,218.5594992
1011231,7,1113.1,4452.4,19479.25,0.03,18.42463518
1011232,6.7,4758.1,19032.4,83266.75,0.13,47.43132756
1011233,6.1,69943.6,279774.4,1224013,1.91,498.1462691
1011234,6.3,3014.1,12056.4,52746.75,0.08,52.58365549
1011235,6.2,2836.8,11347.2,49644,0.08,44.48860715
1011236,4.6,20491.9,81967.6,358608.25,0.56,204.788063
1011237,4.1,25145.8,100583.2,440051.5,0.69,463.7201086
1011238,5.606365042,3096.1,12384.4,54181.75,0.08,51.09270071
1011239,5.9,1540.5,6162,26958.75,0.04,22.6625697
1011240,5.571419162,846,3384,14805,0.02,16.51667303
1011241,6.3,7288,29152,127540,0.2,103.4143285
1011242,7.6,7137.9,28551.6,124913.25,0.2,91.38182448
1011243,6.3,12511.4,50045.6,218949.5,0.34,141.9086042
1011244,5.9,71612.2,286448.8,1253213.5,1.96,469.2793492
1011245,2.2,2258.8,9035.2,39529,0.06,40.20389014
1011246,7.5,2268.8,9075.2,39704,0.06,32.51126667
1011247,7,8418.7,33674.8,147327.25,0.23,86.27754886
1011248,5.9,13893.1,55572.4,243129.25,0.38,159.7846679
1011249,5.3,22258.7,89034.8,389527.25,0.61,231.62907
1011250,4.8,1615.3,6461.2,28267.75,0.04,24.18754337
1011251,5.7,18356.2,73424.8,321233.5,0.5,224.4257789
1011252,7,10616.6,42466.4,185790.5,0.29,125.8620681
1011253,7,4591.3,18365.2,80347.75,0.13,47.81637452
1011254,6,3336.2,13344.8,58383.5,0.09,37.20575157
1011255,6.1,480.9,1923.6,8415.75,0.01,10.78068379
1011256,7.1,47850.9,191403.6,837390.75,1.31,289.0274511
1011257,4.8,918.9,3675.6,16080.75,0.03,14.42700735
1011258,6.9,4486,17944,78505,0.12,64.35944424
1011259,3.9,5631.5,22526,98551.25,0.15,87.7598509
1011260,6.6,1043.4,4173.6,18259.5,0.03,22.31804948
1011261,7.4,85103,340412,1489302.5,2.33,1110.810605
1011262,5.5,1336.8,5347.2,26736,0.05,16.222516
1011263,6.8,6752.2,27008.8,118163.5,0.18,87.13262856
1011264,7.7,12780.7,51122.8,223662.25,0.35,130.5050637
1011265,5.7,35000.1,140000.4,612501.75,0.96,360.6931533
1011266,6.9,9001.5,36006,157526.25,0.25,88.5277607
1011267,5.1,1435.2,5740.8,25116,0.04,19.17089273
